# https://explorer.zel.cash/ and whois results
# Zel
IP Address|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Payment Address|Publice Key
109.177.82.214||||||||
109.186.126.214:16177||||||||
109.186.126.214:16187||||||||
109.186.126.214:16197||||||||
109.192.117.169||||||||
109.205.181.123||||||||
109.220.227.133||||||||
109.220.227.133:16147||||||||
109.229.70.44||||||||
109.238.11.40||||||||
109.238.11.98||||||||
109.238.14.24||||||||
109.238.14.71|21409|109.238.0.0/20|FR|ripencc|2010-01-20|IKOULA, FR|t1SpnCFu498n33ueT2NP3svbDcd5G6NzP3m|04c40145978764d361fefae333187e9d323fc00c86b63c2228b8b19c7809ed95a1b9bbbf88950cba87a69b989e89c0654d80b997a55cf19d89c720a19fe331e510
109.248.133.36|49505|109.248.133.0/24|CZ|ripencc|2009-11-27|SELECTEL, RU|t1NtU6iRogwA1dSCFYyY1PScsaRGC88dZf8|04d8cf69d540bbc5926b61f1386320f81279433e4ed4133d98027eed6b370a51aff0250a33bafc5bab6e9121e0cfbb103ec3631bc5bfee792aa12bdab943ac132c
109.250.222.169||||||||
109.255.164.137|6830|109.255.128.0/17|IE|ripencc|2009-12-14|LIBERTYGLOBAL Liberty Global formerly UPC Broadband Holding, aka AORTA, NL|t1e3SrndfnRNn7vhVL3S5MaDyBWSQYHocf1|049eb3237ce830cd5809e95bc12802b43a4a7f0a95a6b646aafaa9b70b5efb43fb6ced88018c803d6928e7d11c519f55bcfa512a61050a6c6004c0349d4f233903
109.51.115.89||||||||
109.90.125.189||||||||
109.90.125.189:16137||||||||
109.90.125.189:16147||||||||
109.90.125.189:16157||||||||
109.90.125.189:16167||||||||
109.90.125.189:16177||||||||
109.90.125.189:16187||||||||
109.90.125.189:16197||||||||
109.90.207.30||||||||
109.90.207.30:16137||||||||
109.90.207.30:16147||||||||
109.90.207.30:16157||||||||
109.90.207.30:16167||||||||
109.90.207.30:16177||||||||
109.90.207.30:16187||||||||
109.90.207.30:16197||||||||
109.90.207.31:16137||||||||
109.90.207.31:16147||||||||
109.90.207.31:16157||||||||
109.90.207.31:16167||||||||
109.90.207.31:16177||||||||
109.90.207.31:16187||||||||
109.90.207.31:16197||||||||
109.93.223.17||||||||
109.93.223.17:16137||||||||
109.93.223.17:16147||||||||
109.93.223.17:16157||||||||
109.94.2.48||||||||
109.94.2.48:16137||||||||
109.99.71.201||||||||
110.12.216.86|9318|110.12.0.0/16|KR|apnic|2009-02-18|SKB-AS SK Broadband Co Ltd, KR|t1LbVdC2vbu4uXrVfqCqP2z2FUXgSckrdFm|0403e5d5b58b04f211226a35c5bd9b610f97a78d0e337f829e9e85371d3460760b0474c335d3b614d7f04b4cc18b4a7d53f7b037dc39fe2a3bc6141a36a377f51f
110.12.64.96||||||||
110.141.222.194||||||||
110.23.59.74||||||||
110.50.85.83||||||||
110.50.85.83:16157||||||||
110.50.85.83:16177||||||||
112.119.167.14||||||||
