# https://api.nanocrawler.cc/ and whois results
# Nano
IP Address|Version|Protocol Version|ASN|BGP Prefix|CC|Registry|Allocated|AS Name|Node Account
104.131.169.14|Nano V23.0||||||||
104.248.235.189|Nano V21.3||||||||
116.202.52.114|Nano V23.0||||||||
116.203.130.224|Nano V23.0||||||||
136.243.110.153|Nano V23.0||||||||
139.59.181.118|Nano V23.0||||||||
143.198.59.250|Nano V23.0||||||||
159.65.161.206|Nano V23.0||||||||
164.90.136.60|Nano V23.0||||||||
167.71.245.153|Nano V23.0||||||||
167.71.87.249|Nano V23.0||||||||
172.66.43.40|Nano V23.0||||||||
173.249.53.54|Nano V23.0||||||||
173.70.214.221|Nano V23.0||||||||
193.41.237.131|Nano V23.0||||||||
2.56.98.216|Nano V22.0||||||||
2.59.133.106|Nano V23.0|18|58212|2.59.132.0/22|DE|ripencc|2019-03-26|DATAFOREST, DE|nano_1my1snode8rwccjxkckjirj65zdxo6g5nhh16fh6sn7hwewxooyyesdsmii3
217.160.65.156|Nano V23.0||||||||
37.191.207.40|Nano V23.0|18|2116|37.191.128.0/17|NO|ripencc|2012-03-21|GLOBALCONNECT-, NO|nano_1jtx5p8141zjtukz4msp1x93st7nh475f74odj8673qqm96xczmtcnanos1o
46.4.30.229|Nano V23.0|18|24940|46.4.0.0/16|DE|ripencc|2010-08-19|HETZNER-AS, DE|nano_15gfawgrsc6tkkm5p1gy749tkibchu73st1ojs3knz6rd3ejfcgt7rj5cmx9
51.81.73.179|Nano V23.0|18|16276|51.81.0.0/17|US|arin|2019-03-11|OVH, FR|nano_3ewhro1uzpbgjztkc5t3yawcqw7mz4acp519m4b7qw14t58t67gndaxswxad
67.205.189.200|V23.0||14061|67.205.176.0/20|US|arin|2016-04-12|DIGITALOCEAN-ASN, US|nano_1isgusmnf1xe45iyjtfxw4qiai36zxdituu7gpni1trtj5ojyujobq13bjah
77.72.193.181|Nano V23.0|18|12835|77.72.192.0/21|IT|ripencc|2007-02-19|TRENTINODIGITALE-AS, IT|nano_1wcxcjbwnnsdpee3d9i365e8bcj1uuyoqg9he5zjpt3r57dnjqe3gdc184ck
78.47.159.121|Nano V23.0|18|24940|78.46.0.0/15|DE|ripencc|2007-04-16|HETZNER-AS, DE|nano_3strnmn7h9b7oghxa6h9ckrpf5r454fsobpicixps6xwiwc5q4hat7wjbpqz
94.130.238.161|Nano V23.0|18|24940|94.130.0.0/16|DE|ripencc|2008-06-23|HETZNER-AS, DE|nano_3pnanopr3d5g7o45zh3nmdkqpaqxhhp3mw14nzr41smjz8xsrfyhtf9xac77
94.237.111.22|Nano V23.0||||||||
95.216.16.116|Nano V23.0||||||||
95.216.218.49|Nano V22.1||||||||
95.216.220.194|Nano V23.0-bounded-unchecked-store||||||||
95.217.197.116|Nano V23.0||||||||
